All,Kaikki
"Summary of review: %1 <br/>","Arvostelun yhteenveto: %1 <br/>"
"Review: %1 <br/>","Arvostelu: %1 <br/>"
"Store: %1 <br/>","Kauppa: %1 <br/>"
"Reviews %1","Arvostelut %1"
"The review has been deleted.","Arvostelu on poistettu."
"Customer Reviews","Asiakkaiden arvostelut"
"Edit Review","Muokkaa arvostelua"
Ratings,Arvostelut
"You saved the rating.","Arvostelu tallennettiin."
"My Product Reviews","Omat tuotearvosteluni"
"You submitted your review for moderation.","Olet lähettänyt arvostelun hyväksyttäväksi."
Approved,Hyväksytty
"Not Approved","Ei hyväksytyt"
"Please enter a nickname.","Ole hyvä ja syötä nimimerkki."
"You have submitted no reviews.","Et ole lähettänyt tuotearvosteluja."
"View All","Näytä kaikki"
"Your Review",Arvostelusi
"Submitted on %1","Lähetetty %1"
"Be the first to review this product","Ole ensimmäinen tuotteen arvostelija"
"You're reviewing:","Olet arvostelemassa:"
"Your Rating",Arviosi
"Submit Review","Lähetä arvostelu"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Vain rekisteröityneet käyttäjät voivat kirjoittaa arvosteluja. Ole hyvä ja <a href=""%1"">Kirjaudu sisään</a> tai <a href=""%2"">Luo tili</a>"
"Add Your Review","Lisää arviosi"
"%1 Review(s)","%1 arvostelu(a)"
"Review by",Arvostellut
"Allow Guests to Write Reviews","Salli kirjautumattomien lähettää arvioita"
"Reward Points History","Palkintopisteiden historia"
"Expired reward","Vanhentunut palkkio"
"No Data","Ei tietoja"
"Refunded from order #%1","Hyvitetty tilaukselta #%1"
"Signed up for newsletter with email %1","Uutiskirje tilattu sähköpostille %1"
First,Ensimmäinen
"Expires on %1","Vanhenee %1"
"Newsletter Signup","Uutiskirjeen tilaaminen"
"Subscribe to our newsletter now and earn %1.","Tilaa uutiskirjeemme ja ansaitse %1."
Return,Palautus
Returns,Palautukset
"Create Returns","Luo palautus"
"Select Items","Valitse kohteet"
"New Return Request","Uusi palautus"
"Create New RMA for %1 in %2","Tee uusi palautus %1 tilaukselle %2"
"Create New RMA for %1","Tee uusi palautus %1"
"Create New RMA","Tee uusi palautus"
"Please Select Order","Valitse tilaus"
"Grand Total (Base)","Loppusumma (oletusvaluutassa)"
"Grand Total (Purchased)","Loppusumma (käytetty valuutta)"
"Are you sure you want to close this returns request?","Haluatko varmasti sulkea tämän palautuksen?"
"Return #%1 - %2","Palauta #%1 - %2"
"RMA Item Details","Palautettavien tuotteiden tiedot"
"Submit Comment","Lähetä kommentti"
"Custom Value","Muokattu arvo"
"Print Shipping Label","Tulosta osoitetarra"
"Show Packages","Näytä paketit"
"Return Items","Palautettavat tuotteet"
Returned,Palautettu
"Return Reason","Palautuksen syy"
"Item Condition","Tuotteen kunto"
Resolution,Hyvitys
Split,Jaa
"Return Information","Palautuksen tiedot"
RMA,Palautus
"You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?","Olet sulkemassa valittuja palautuksia. Haluatko varmasti jatkaa?"
"Return Item Attribute","Palautettavan tuotteen ominaisuudet"
"Edit Return Item Attribute ""%1""","Muokkaa palautettavan tuotteen ominaisuutta ""%1"""
"Submit Returns","Lähetä palautukset"
"Add Selected Product(s) to returns","Lisää valitut tuotteet palautuksiin"
"Remaining Qty","Jäljelläoleva määrä"
"Requested Qty","Pyydetty määrä"
"Reason to Return","Palautuksen syy"
"Add Details","Lisää tietoja"
"This is the wrong RMA order ID.","Tämä on väärä RMA-tilausnumero."
"Invalid order","Virheellinen tilaus"
"Please specify a carrier.","Määritä toimitustapa."
"Please enter a tracking number.","Syötä seurantakoodi."
"New Return","Uusi palautus"
"You created a shipping label.","Osoitekortti on luotu."
"Something went wrong creating a shipping label.","Jokin meni vikaan osoitelappua luotaessa."
"Products should be added to package(s)","Tuotteet tulisi lisätä paketteihin"
"Please enter a valid value.","Anna kelvollinen arvo."
"You submitted the RMA request.","Olet ilmoittanut palautuksesta."
"Create New Return","Luo uusi palautus"
"My Returns","Omat palautukseni"
"Tracking Information",Seurantatiedot
"Page not found","Sivua ei löydy"
"Return # ","Palautus # "
"Return Date: ","Palautuspäivä: "
"Order # ","Tilausnumero "
"Ordered: ","Tilattu: "
"Return Address:",Palautusosoite:
"There is an error in quantities for item %1.","Tuotteen %1 määrä on virheellinen."
"Authorized Qty","Valtuutettu määrä"
"Returned Qty","Palautettu määrä"
"Approved Qty","Hyväksytty määrä"
"%1 for item %2 cannot be empty.","Tuotteen%2 %1 ei voi olla tyhjä."
"You cannot return %1.","%1 ei voi palauttaa."
"A quantity of %1 is greater than you can return.","%1 määrä on suurempi kuin sallittu palautuksen määrä."
"You entered an invalid email address: ""%1"".","Antamasi sähköpostiosoite: ""%1"" on virheellinen."
"Return Received","Palautus vastaanotettu"
"Return Partially Received","Osapalautus vastaanotettu"
"Partially Rejected","Osittain hylätty"
Denied,Estetty
"Processed and Closed","Käsitelty ja suljettu"
"We received your Return request.","Olemme vastaanottaneet palautusilmoituksen."
"No detail for number ""%1""","Ei tietoja numerolle ""%1"""
"All Items","Kaikki tuotteet"
"Request Details","Pyydä tietoja"
"Customer Name","Asiakkaan nimi"
"RMA History",Palautushistoria
"Comment Text",Kommenttiteksti
"Visible on Storefront","Näkyvissä kaupan etusivulla"
"Customer Service",Asiakaspalvelu
"Not Notified","Ei ilmoitettu"
"Return Address",Palautusosoite
"Order Shipping Address","Tilauksen toimitusosoite"
"Customs Value",Tullausarvo
"Qty Ordered","Tilattu määrä"
Carrier,Toimittaja
Number,Numero
"Create Shipping Label","Luo osoitetarra"
"Order &amp; Account Information","Tilaus- &amp; tilitiedot"
Sub-items,Alatuotteet
Packages,Paketit
Package,Paketti
Length,Pituus
"Total Weight",Kokonaispaino
"Items in the Package","Paketissa olevat tuotteet"
"Are you sure you want to delete this tracking information?","Oletko varma, että haluat poistaa tämän seurantatiedon?"
"Request Information","Pyydä tietoja"
"Shipping and Tracking Information","Toimitus- ja seurantatiedot"
"Track this shipment","Seuraa lähetystä"
"Request Qty","Pyydä määrä"
"Hide Details","Piilota tiedot"
"Show Details","Näytä tiedot"
"Leave Comment","Jätä kommentti"
"Customer %name has left a new comment:","Asiakas %name on jättänyt uuden kommentin:"
"Create Packages","Luo paketteja"
"Add Package","Lisää paketti"
"Contact Name","Yhteyshenkilön Nimi"
Feed,Syöte
"Miscellaneous Feeds","Sekalaiset syötteet"
"RSS Feeds",RSS-syötteet
"Enable RSS","Ota RSS käyttöön"
"Please choose a valid discount amount.","Valitse kelvollinen alennussumma."
"End Date must follow Start Date.","Päättymispäivän on seurattava aloituspäivämäärää."
"Please specify Customer Groups.","Määritä asiakasryhmät."
"does not contain","ei sisällä"
ALL,KAIKKI
ANY,"MIKÄ TAHANSA"
TRUE,TOTTA
"This won't take long . . .","Tämä ei kestä kauan. . ."
"Credit Memos",Hyvityslaskut
Invoices,Laskut
"Create New Order","Luo uusi tilaus"
"Save Order Address","Tallenna tilausosoite"
"Order Address Information","Tilauksen osoitetiedot"
"Submit Order","Lähetä tilaus"
"Are you sure you want to cancel this order?","Haluatko varmasti peruuttaa tämän tilauksen?"
"Order Comment","Tilauksen kommentti"
"Please select a customer","Valitse asiakas"
"Edit Order #%1","Muokkaa tilausta #%1"
"Create New Order for New Customer","Luo uusi tilaus uudelle asiakkaalle"
"Items Ordered","Tilatut nimikkeet"
"This product is disabled.","Tämä tuote on pois käytöstä."
"Please select products","Valitse tuotteet"
"Add Selected Product(s) to Order","Lisää valitut tuotteet tilaukseen"
"Update Changes","Päivitä muutokset"
"Are you sure you want to delete all items from shopping cart?","Haluatko varmasti poistaa kaikki kohteet ostoskorista?"
"Products in Comparison List","Tuotteet vertailulistalla"
"Last Ordered Items","Viimeksi tilatut nimikkeet"
"Please select a store","Valitse kauppa"
"Order Totals",Loppusummat
"Shipping Incl. Tax (%1)","Toimitus sis. verot (%1)"
"Shipping Excl. Tax (%1)","Toimitus, veroton (%1)"
"New Credit Memo for Invoice #%1","Uusi hyvityslasku laskunumerolle %1"
"New Credit Memo for Order #%1","Uusi hyvityslasku tilaukselle %1"
"Update Qty's","Päivitä määrät"
"Paid Amount","Maksettu summa"
"Order Grand Total","Tilauksen loppusumma"
"Send Email","Lähetä sähköposti"
"New Invoice and Shipment for Order #%1","Uusi lasku ja toimitus tilaukselle #%1"
"New Invoice for Order #%1","Uusi lasku tilaukselle %1"
"Submit Invoice","Hyväksy lasku"
"Credit Memo",Hyvityslasku
Capture,Talteenotto
"The invoice email was sent.","Laskun sähköposti lähetettiin."
"Order Statuses","Tilausten tilat"
"Create New Status","Luo uusi tila"
"Edit Order Status","Muokkaa tilauksen tilaa"
"Save Status","Tallenna tila"
"Order Status Information","Tilauksen tilan tiedot"
"Status Code",Tilakoodi
"Total Paid","Maksettu yhteensä"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","Tämä luo offline-hyvityksen. Luodaksesi online-hyvityksen, avaa lasku ja luo hyvityslasku sille. Haluatko jatkaa?"
Hold,Pitoon
hold,pitoon
Unhold,"Vapauta pidosta"
unhold,"vapauta pidosta"
"Are you sure you want to accept this payment?","Haluatko varmasti hyväksyä tämän maksun?"
"Accept Payment","Hyväksy maksu"
"Invoice and Ship","Laskuta ja toimita"
Ship,Lähetä
"Order # %1 %2 | %3","Tilausnumero %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","Tällä tilauksella on (%1) tuote(tta), jonka vuoksi sitä ei voida muokata hallintapaneelin kautta. Jos haluat jatkaa muokkaamista, (%2) tuote(tta) poistetaan, tilaus peruutetaan ja uusi tilaus luodaan."
"Are you sure? This order will be canceled and a new one will be created instead.","Oletko varma? Tämä tilaus peruutetaan ja uusi luodaan sen sijaan."
"Save Gift Message","Tallenna lahjaviesti"
"Order Credit Memos","Tilausten hyvityslaskut"
"Credit memo #%1 created","Hyvityslasku %1 luotu"
"Shipment #%1 created","Toimitus %1 luotu"
"Invoice #%1 created","Lasku %1 luotu"
"Comments History","Kommenttien historia"
"Order History",Tilaushistoria
"Order Information","Tilauksen tiedot"
Shipments,Lähetykset
Transactions,Tapahtumat
"Order View",Tilausnäkymä
"New Order RSS","Uusien tilauksien RSS"
"Discount (%1)","Alennus (%1)"
"Transaction # %1 | %2","Tapahtumanumero %1 | %2"
Value,Arvo
"Back to My Orders","Palaa omiin tilauksiin"
"View Another Order","Katso toinen tilaus"
"You have placed no orders.","Et ole tehnyt tilauksia."
"About Your Invoice","Lisätietoja laskustasi"
"Print Order # %1","Tulosta tilaus # %1"
"Grand Total to be Charged","Veloitettava loppusumma"
"You sent the message.","Lähetit viestin."
"This order no longer exists.","Tätä tilausta ei ole enää olemassa."
"We cannot add order history.","Tilaushistoriaa ei voida lisätä."
"You updated the order address.","Päivitit tilausosoitteen."
"You canceled the order.","Peruutit tilauksen."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","Alennuskoodia ""%1"" ei käytetty. Tuotteelle (tuotteille) on asetettu älä käytä alennusta"
"The ""%1"" coupon code isn't valid. Verify the code and try again.","Alennuskoodi ""%1"" ei ole kelvollinen. Vahvista koodi ja yritä uudelleen."
"The coupon code has been accepted.","Alennuskoodi hyväksytty."
"The coupon code has been removed.","Alennuskoodi on poistettu."
"New Order","Uusi tilaus"
"Cannot add new comment.","Uutta kommentia ei voida lisätä."
"The order no longer exists.","Tilausta ei ole enää olemassa."
"Edit Order","Muokkaa tilausta"
"You put the order on hold.","Tilaus on laitettu pitoon."
"New Invoice","Uusi lasku"
"The payment has been accepted.","Maksu on hyväksytty."
"The payment has been denied.","Maksu on hylätty."
"Transaction has been approved.","Tapahtuma on hyväksytty."
"Orders and Returns","Tilaukset ja palautukset"
"Shipping Address: ","Toimitusosoite: "
"Billing Address: ","Laskutusosoite: "
"Please enter the street.","Syötä katu."
"Please enter the city.","Anna kaupunki."
"Please enter the phone number.","Syötä puhelinnumero."
"Please enter the zip/postal code.","Anna postinumero."
"Please enter the country.","Syötä maa."
Backordered,Jälkitoimituksessa
"Canceled order online","Tilaus peruutettu online"
"Canceled order offline","Tilaus peruutettu offline"
"Amount: %1.","Määrä: %1."
"Transaction ID: ""%1""","Tapahtumatunnus: ""%1"""
"Order Date: ","Tilauspäivämäärä: "
"Sold to:",Tilaaja:
"Total Shipping Charges","Toimituskulut yhteensä"
"Credit Memo # ","Hyvityslaskun numero "
"Invoice # ","Lasku # "
"Packing Slip # ","Pakkauslista # "
"New Orders","Uudet tilaukset"
"Total: %1<br/>","Yhteensä: %1<br/>"
"Pending Payment","Odottaa maksua"
"On Hold",Pidossa
Complete,Valmis
"Suspected Fraud","Epäilty petos"
"Payment Review","Maksun tarkastelu"
"Email has not been sent","Sähköpostia ei ole lähetetty"
"Group was removed","Ryhmä poistettiin"
"No Payment Methods","Ei maksutapoja"
"Order Comments","Tilauksen kommentit"
"Order Currency:","Tilauksen valuutta:"
"Same As Billing Address","Sama kuin laskutusosoite"
"Add to address book","Lisää osoitekirjaan"
"Gift Message for the Entire Order","Lahjaviesti koko tilaukselle"
"Custom Price","Mukautettu hinta"
"Move to Shopping Cart","Siirrä ostoskoriin"
"Sorry, no quotes are available for this order.","Valitettavasti toimituskuluja ei voida laskea tälle tilaukselle."
"Append Comments","Liitä aikaisemmat kommentit"
"Grand Total Excl. Tax","Veroton loppusumma"
"Grand Total Incl. Tax","Verollinen loppusumma"
"Payment &amp; Shipping Method","Maksu- &amp; toimitustapa"
"The order was placed using %1.","Tilaus tehtiin käyttäen %1."
"Return to Stock","Palauta varastoon"
"Qty to Refund","Hyvitettävä määrä"
"No Items","Ei kohteita"
"Customer Name: %1","Asiakkaan nimi: %1"
"Purchased From: %1","Ostettu kohteesta: %1"
"Create Shipment","Luo lähetys"
"Qty to Invoice","Laskutettava määrä"
"Invoice History",Laskutushistoria
"Invoice Comments","Laskun kommentit"
"Invoice Totals","Laskun loppusummat"
"Capture Online","Talteenota online"
"Capture Offline","Talteenota offline"
"Email Copy of Invoice","Sähköpostikopio laskusta"
"Items Invoiced","Laskutetut tuotteet"
"Total Due","Maksamatta yhteensä"
"Total Tax","Verot yhteensä"
"From Name","Lähettäjän nimi"
"To Name","Vastaanottajan nimi"
"Order & Account Information","Tilaus- & tilitiedot"
"The order confirmation email was sent","Tilausvahvistuksen sähköposti lähetettiin"
"The order confirmation email is not sent","Tilausvahvistuksen sähköpostia ei ole lähetetty"
"Order Date",Tilauspäivämäärä
"Order Date (%1)","Tilauspäivämäärä (%1)"
"Purchased From","Ostettu kohteesta"
"Placed from IP","Tilaus tehty IP-osoitteesta"
"Notes for this Order","Merkinnät tälle tilaukselle"
"Comment added","Kommentti lisätty"
"Shipped By",Lähettäjä
"Tracking Number",Seurantanumero
"Billing Last Name","Laskutettavan sukunimi"
"Find Order By","Etsi tilaus käyttäen"
"ZIP Code",Postinumero
"Print All Refunds","Tulosta kaikki hyvitykset"
"Print Order","Tulosta tilaus"
"Print All Invoices","Tulosta kaikki laskut"
"Invoice #","Lasku # "
"Print Invoice","Tulosta lasku"
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Tilauspäivämäärä:</span> %1"
"Shipment #%1","Lähetysnumero %1"
"Recent Orders","Viimeisimmät tilaukset"
"Recently Ordered","Viimeisimmät tilaukset"
"Credit memo for your %store_name order","Hyvityslaskun tilaukselle %store_name"
"Thank you for your order from %store_name.","Kiitos tilauksestasi %store_name -kaupassa."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Voit tarkistaa tilauksesi tilan <a href=""%account_url"">kirjautumalla tilillesi</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Jos sinulla on kysyttävää tilauksestasi, voit lähettää meille sähköpostia osoitteeseen <a href=""mailto:%store_email"">%store_email</a>"
"Your Credit Memo #%creditmemo_id for Order #%order_id","Hyvityslaskun tiedot #%creditmemo_id tilaukselle #%order_id"
"Billing Info",Laskutustiedot
"Update to your %store_name credit memo","Päivitys %store_name -hyvityslaskulle"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Tilauksesi #%increment_id tila on päivitetty: <strong>%order_status</strong>."
"Invoice for your %store_name order","Lasku tilauksellesi %store_name -kaupassa"
"Your Invoice #%invoice_id for Order #%order_id","Lasku #%invoice_id tilaukselle #%order_id"
"Update to your %store_name invoice","Päivitys %store_name -laskulle"
"Your %store_name order confirmation","%store_name -tilausvahvistus"
"Once your package ships we will send you a tracking number.","Kun pakettisi toimitetaan, lähetämme sinulle seurantanumeron."
"Your Order <span class=""no-link"">#%increment_id</span>","Tilauksesi <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Tilattu <span class=""no-link"">%created_at</span>"
"Once your package ships we will send an email with a link to track your order.","Kun pakettisi on toimitetaan, lähetämme sinulle sähköpostin seurantalinkkeineen."
"Update to your %store_name order","Päivitys %store_name -tilaukselle"
"Your %store_name order has shipped","%store_name -tilaus on lähetetty"
"Your shipping confirmation is below. Thank you again for your business.","Tilauksen lähetysvahvistus alapuolella. Kiitos vielä tilauksestasi!"
"Your Shipment #%shipment_id for Order #%order_id","Toimitus #%shipment_id tilaukselle #%order_id"
"Update to your %store_name shipment","Päivitys %store_name -toimitukselle"
"Please enter a coupon code!","Ole hyvä ja syötä alennuskoodi!"
Operations,Toiminnot
"Hide Customer IP","Piilota asiakkaan IP"
"Allow Reorder","Salli uudelleentilaaminen"
"Invoice and Packing Slip Design","Laskun ja pakkausluettelon ulkoasu"
"Logo for PDF Print-outs (200x50)","Logo PDF-tulosteille (200 x 50)"
"Logo for HTML Print View","Logo HTML-tulostusnäkymälle"
"Description Message",Kuvausviesti
"Sales Emails","Myynnin sähköpostit"
"Shipment Comments","Lähetyksen kommentit"
"PDF Print-outs",PDF-tulosteet
"Orders and Returns Search Form","Tilaukset ja palautukset -hakulomake"
"ZIP/Post Code",Postinumero
"Invoice Date","Laskun päiväys"
"Ship Date",Toimituspäivämäärä
"Total Quantity",Kokonaismäärä
"Default Status",Oletustila
"Item Status","Nimikkeen tila"
"Original Price","Alkuperäinen hinta"
"Tax Percent",Veroprosentti
"PDF Credit Memos","PDF hyvityslaskut"
"Print Invoices","Tulosta laskut"
"Print Packing Slips","Tulosta pakkauslistat"
"Print Credit Memos","Tulosta hyvityslaskut"
"Print All","Tulosta kaikki"
"Print Shipping Labels","Tulosta osoitetarrat"
"Purchase Date",Ostopäivämäärä
"Customer Email","Asiakkaan sähköposti"
"Shipping and Handling","Lähetys- ja käsittelykulut"
"PDF Invoices",PDF-laskut
"PDF Shipments",PDF-lähetysasiakirjat
"PDF Creditmemos",PDF-hyvityslaskut
"Move to Archive","Siirrä arkistoon"
"Move to Order Management","Siirrä tilausten hallintaan"
"We have archived the order.","Tilaus on arkistoitu."
"Please specify the order ID to be archived.","Määritä arkistoitavan tilauksen tunnus."
"We archived %1 order(s).","%1 tilaus(ta) arkistoitiin."
"Restore from Archive","Palauta arkistosta"
"Orders, Invoices, Shipments, Credit Memos Archiving","Tilaukset, laskut, lähetykset, hyvityslaskut arkistointi"
"Are you sure you want to delete this?","Haluatko varmasti poistaa tämän?"
"Manage Coupon Codes","Hallinnoi alennuskoodeja"
"Coupon Qty","Kuponkien määrä"
"Code Prefix","Koodin etuliite"
"Code Suffix","Koodin jälkiliite"
"Times Used",Käyttökertoja
"Are you sure you want to delete the selected coupon(s)?","Oletko varma että haluat poistaa valitu(n/t) alennuskoodi(n/t)?"
"We can't delete the rule right now. Please review the log and try again.","Sääntöä ei voida poistaa juuri nyt. Tarkista loki ja yritä uudelleen."
"New Cart Price Rule","Uusi ostoskorin hintasääntö"
"No Coupon","Ei alennuskoodia"
"Specific Coupon","Määritetty kuponkikoodi"
"Fixed amount discount","Kiinteä alennus"
"Fixed amount discount for whole cart","Kiinteä alennus koko ostoskorille"
"Buy X get Y free (discount amount is Y)","Osta X, saat Y:n ilmaiseksi (alennuksen määrä on Y)"
"Quantity in cart","Määrä ostoskorissa"
"Price in cart","Hinta ostoskorissa"
"total quantity",kokonaismäärä
"%1 coupon(s) have been generated.","%1 kuponki(a) luotiin."
"Your coupon was successfully applied.","Kuponki käytettiin onnistuneesti."
"Use Auto Generation","Käytä automaattista luontia"
"Uses per Coupon","Käyttökertaa per kuponki"
"Uses per Customer","Käyttömäärä per asiakas"
"Public In RSS Feed","Julkinen RSS-syötteessä"
"Future Update in this time range already exists. Select a different range to add a new Future Update.","Tuleva päivitys tällä aikavälillä on jo olemassa. Valitse toinen aikaväli uuden tulevan päivityksen lisäämiseksi."
"Not enough arguments","Liian vähän argumentteja"
"Fatal Error","Vakava virhe"
"Use Deferred Stock Update","Käyttää laskennallista varaston tilaa"
"Add Scheduled Export","Lisää ajastettu vienti"
"Add Scheduled Import","Lisää ajastettu tuonti"
"Scheduled Import/Export","Ajoitettu tuonti/vienti"
"Server Type",Palvelintyyppi
"File Directory",Tiedostohakemisto
"FTP Host[:Port]",FTP-isäntä[:portti]
"File Format",Tiedostomuoto
"File Name",Tiedostonimi
"You deleted a total of %1 record(s).","Yhteensä %1 tietue(tta) poistettu."
"We can't create directory ""%1""","Hakemistoa ""%1"" ei voida luoda"
"Scheduled Import","Ajastettu tuonti"
"Connecting to server","Yhdistetään palvelimeen"
"Unknown file format","Tuntematon tiedostomuoto"
"Local Server","Paikallinen palvelin"
"Stop Import","Pysäytä tuonti"
"Continue Processing","Jatka käsittelyä"
Successful,Onnistui
"Entity type:","Entiteetin tyyppi:"
"Error Email Recipient","Virhesähköpostin vastaanottaja"
"Error Email Sender","Virhesähköpostin lähettäjä"
"Error Email Template","Virhesähköpostin mallipohja"
"Search Term",Hakusana
"Search Synonyms","Hakutulosten synonyymit"
"New Synonym Group","Uusi synonyymiryhmä"
"Delete Synonym Group","Poista synonyymiryhmä"
"Are you sure you want to delete this synonym group?","Oletko varma, että haluat poistaa tämän synonyymiryhmän?"
"Save Synonym Group","Tallenna synonyymiryhmä"
"Save Search","Tallenna haku"
"Delete Search","Poista haku"
"Edit Search '%1'","Muokkaa hakua '%1'"
"New Search","Uusi haku"
"Search Information","Tietoja hausta"
"Number of results","Hakutulosten määrä"
"Number of results (For the last time placed)","Viimekertaisen haun tulosten määrä"
"For the last time placed.",Viimekertainen.
"Number of Uses","Käyttökertojen määrä"
"ex. http://domain.com","esim. http://domain.com"
"The synonym group has been deleted.","Synonyymiryhmä on poistettu."
"An error was encountered while performing delete operation.","Poisto-operaation aikana tapahtui virhe."
"We can't find a synonym group to delete.","Poistettavaa synonyymiryhmää ei löydy."
"This synonyms group no longer exists.","Synonyymiryhmää ei enää ole olemassa."
"Edit Synonym Group","Muokkaa synonyymiryhmää"
"Synonym Group",Synonyymiryhmä
"Failed to delete %1 synonym group(s).","%1 synonyymiryhmän poisto epäonnistui."
"A total of %1 synonym group(s) have been deleted.","Yhteensä %1 synonyymiryhmää poistettiin."
"Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.","%1 hakukone ei tue hakusanojen synonyymeja. Lisäämiäsi synonyymeja ei tulla käyttämään."
"This synonym group no longer exists.","Synonyymiryhmää ei enää ole olemassa."
"You saved the synonym group.","Synonyymiryhmä on tallennettu."
"The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Syöttämäsi termit, (%1) kuuluvat olemassaolevaan synonyymiryhmään %2. Valitse ""Yhdistä olemassaolevat synonyymit"" yhdistääksesi termit."
"The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Syöttämäsi termit (%1) kuuluvat %2 olemassaoleviin synonyymiryhmiin %3 ja %4. Valitse ""Yhdistä olemassaolevat synonyymit"" yhdistääksesi termit."
"You deleted the search.","Poistit haun."
"This search no longer exists.","Tätä hakua ei enää ole."
"Edit Search","Muokkaa hakua"
"Please select searches.","Valitse haut."
"Search Terms Report",Hakusanaraportti
"You saved the search term.","Hakutermi on tallennettu."
"Something went wrong while saving the search query.","Hakukyselyn tallentaminen ei onnistunut."
"You already have an identical search term query.","Identtinen hakukysely on jo olemassa."
"Merge conflict with existing synonym group(s): %1","Olemassaolevien synonyymiryhmien yhdistämisessä tapahtui virhe %1"
"Are you sure you want to delete synonym group with id: %1?","Haluatko varmasti poistaa synonyymiryhmän, jonka id on %1?"
"    All Store Views","    Kaikki kauppanäkymät"
"Search entire store here...","Hae koko sivustosta..."
"There are no search terms available.","Hakutermejä ei ole saatavilla."
"Search Engine",Hakukone
Hits,Käynnit
"Suggested Terms","Suositellut termit"
"You can adjust the scope of this synonym group by selecting an option from the list.","Voit muokata synonyymiryhmän kohdealuetta valitsemalla vaihtoehdon listasta."
"Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”","Pilkuilla erotettu luettelo synonyymeista. Syötettyjä ehtoja (pilkuilla eroteltu) käytetään ""OR"" hakulausekkeena koko kaupasta. Jos esimerkiksi kirjoitat ""kengät,jalkineet"" ja käyttäjä etsii ""kengät"", hakutuloksiin sisällytetään tuotteet tai sisällöt termillä ""kengät"" tai ""jalkineet."""
Synonyms,Synonyymit
"Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms.","Yhdistää automaattisesti synonyymit ryhmiin jotka jakavat saman alueen. Jos valitset tämän valintaruudun ja lisäät yhden tai useamman termin eri synonyymiryhmiin samassa alueessa, yhdistetään automaattisesti kaikki ehdot yhteen ryhmään. Jos tämä ei ole mitä haluat, älä valitse tätä valintaruutua ja saat virheen, jos yrität lisätä samoja termejä."
"Are you sure you want to delete the selected synonym groups?","Haluatko varmasti poistaa valitut synonyymiryhmät?"
"Account Activity","Tilin tapahtumat"
"All other open sessions for this account were terminated.","Kaikki muut tämän tilin avoimet istunnot lopetettiin."
"We couldn't logout because of an error.","Ei voitu kirjautua ulos virheen vuoksi."
"Someone logged into this account from another device or browser. Your current session is terminated.","Joku kirjautui tälle tilille toisesta laitteesta tai selaimesta. Nykyinen istunto keskeytetään."
"Your account is temporarily disabled. Please try again later.","Tilisi on väliaikaisesti poistettu käytöstä. Yritä myöhemmin uudelleen."
"Your current session has been expired.","Nykyinen istuntosi on vanhentunut."
"By IP and Email","IP-osoitteen ja sähköpostin mukaan"
"By Email",Sähköpostitse
"This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer.","Järjestelmänvalvojatili on avoinna useammassa kuin yhdessä sijainnissa. Huomaa, että muut sijainnit saattavat olla eri selaimia tai istuntoja samassa tietokoneessa."
"Log out all other sessions","Kirjaudu ulos muista istunnoista"
"This computer is using IP address %1.","Tämä tietokone käyttää IP-osoitetta %1."
Warning,Varoitus
"The link to a friend was sent.","Linkki kaverille lähetettiin."
"Some emails were not sent.","Joitain sähköposteja ei lähetetty."
"Please enter a sender name.","Anna lähettäjän nimi."
"Invalid Sender Email","Virheellinen lähettäjän sähköposti"
"Please enter a message.","Kirjoita viesti."
"Please specify at least one recipient.","Määritä vähintään yksi vastaanottaja."
"No more than %1 emails can be sent at a time.","Enintään %1 sähköposti(a) voidaan lähettää kerrallaan."
"Remove Recipent","Poista vastaanottaja"
"Welcome, %name","Tervetuloa, %name"
"%sender_name wants to share this product with you:","%sender_name haluaa jakaa tiedon tästä tuotteesta sinulle:"
"Select Email Template","Valitse sähköpostimalli"
"Allow for Guests","Salli vieraille"
"Linked Products","Linkitetyt tuotteet"
Pricing,Hinnoittelu
